BalancedAcc,Accuracy,MacroF1,MacroPrecision,MacroRecall,Kappa,N,Recall_c0,Recall_c1,Recall_c2,AUC_ovr,AUC_c0,AUC_c1,AUC_c2,FatalMiss_c2_to_c0,fold,seed
0.5935503315250151,0.5903083700440529,0.5942799752420326,0.5986317603964664,0.5935503315250151,0.3840879915976193,227,0.5,0.5949367088607594,0.6857142857142857,0.7840795322622626,0.752968508002065,0.7535921997947315,0.845677888989991,0.11428571428571428,0,42
0.5391189002876838,0.5357142857142857,0.5174225919323958,0.5311781325974111,0.5391189002876838,0.30345625930213327,252,0.6041666666666666,0.4044943820224719,0.6086956521739131,0.7556460601026874,0.7697099673202614,0.654511615082374,0.8427165979054269,0.17391304347826086,1,42
0.592275449234212,0.625,0.5748138772547621,0.607037037037037,0.592275449234212,0.41230437128980024,264,0.3392857142857143,0.46846846846846846,0.9690721649484536,0.8043018193426897,0.8351648351648352,0.6979332273449921,0.8798073955182418,0.0,2,42
0.6419539001195652,0.6590909090909091,0.6459209544889788,0.6509803921568628,0.6419539001195652,0.4633273703041145,220,0.5581395348837209,0.6404494382022472,0.7272727272727273,0.8140322246308035,0.8381290237813691,0.7514366583755039,0.8525309917355373,0.022727272727272728,3,42
0.5637991212810562,0.6213991769547325,0.5572681633039689,0.6003148495773863,0.5637991212810562,0.39403138806819715,243,0.22641509433962265,0.6458333333333334,0.8191489361702128,0.8141944722877623,0.8144985104270108,0.7362528344671202,0.8918320719691561,0.0,4,42
0.6150816834361138,0.6123348017621145,0.6114726631393298,0.6211227675043465,0.6150816834361138,0.41793175791835424,227,0.47435897435897434,0.6708860759493671,0.7,0.8033085629596162,0.777663052830838,0.7783954840916866,0.853867151956324,0.08571428571428572,0,43
0.5694797264289204,0.5833333333333334,0.5359771654547774,0.5572104787714544,0.5694797264289204,0.35757987763426247,252,0.625,0.29213483146067415,0.7913043478260869,0.7864722443679187,0.7826797385620915,0.7119321706762253,0.8648048238654394,0.11304347826086956,1,43
0.6342373301136188,0.6477272727272727,0.6221453149211558,0.6335554936724527,0.6342373301136188,0.45444849346724736,264,0.5,0.4954954954954955,0.9072164948453608,0.8356586744551852,0.8373111263736264,0.76288052758641,0.9067843694055189,0.0,2,43
0.5795434749903002,0.6318181818181818,0.5822686551969866,0.5904882154882155,0.5795434749903002,0.4143167028199567,220,0.32558139534883723,0.651685393258427,0.7613636363636364,0.7960082972342319,0.7868873998160557,0.7252766103439404,0.8758608815426997,0.045454545454545456,3,43
0.6589750880949196,0.6502057613168725,0.6275226111881683,0.6524929971988795,0.6589750880949196,0.4722924810301219,243,0.6981132075471698,0.3958333333333333,0.8829787234042553,0.8262672622080004,0.8381330685203575,0.7433390022675737,0.8973297158360702,0.05319148936170213,4,43
0.5802970587780715,0.5770925110132159,0.5753738067964872,0.6041556962926066,0.5802970587780715,0.3633282692532429,227,0.358974358974359,0.6962025316455697,0.6857142857142857,0.775863411580712,0.7719841679573224,0.7277625726992816,0.8278434940855323,0.07142857142857142,0,44
0.5714941920425555,0.5952380952380952,0.5658652989189518,0.5625,0.5714941920425555,0.3647058823529412,252,0.5208333333333334,0.47191011235955055,0.7217391304347827,0.78351567682908,0.7946282679738562,0.6887020059281727,0.867216756585211,0.043478260869565216,1,44
