AUC,BalancedAcc,Accuracy,Precision,Recall,Specificity,F1,Kappa,N,fold,seed,mode
0.8015632633121641,0.6861748900830484,0.6862745098039216,0.7383177570093458,0.6869565217391305,0.6853932584269663,0.7117117117117117,0.36860431376342007,204,1,45,gt
0.889291353208879,0.7766323024054982,0.7692307692307693,0.6991869918699187,0.8865979381443299,0.6666666666666666,0.7818181818181819,0.5440679514110878,208,2,45,gt
0.838100102145046,0.7968590398365679,0.7966101694915254,0.7708333333333334,0.8409090909090909,0.7528089887640449,0.8043478260869565,0.5934150076569678,177,3,45,gt
0.861258865248227,0.8052969858156028,0.8052631578947368,0.8,0.8085106382978723,0.8020833333333334,0.8042328042328042,0.6105263157894737,190,4,45,gt
0.8607594936708861,0.8065099457504521,0.8120805369127517,0.8620689655172413,0.7142857142857143,0.8987341772151899,0.78125,0.6190650109569028,149,0,46,gt
0.8217879824132878,0.7403517342452369,0.7401960784313726,0.7870370370370371,0.7391304347826086,0.7415730337078652,0.7623318385650224,0.47646717024985474,204,1,46,gt
0.8703445713754993,0.7810903687192348,0.7788461538461539,0.7383177570093458,0.8144329896907216,0.7477477477477478,0.7745098039215687,0.5585494140444773,208,2,46,gt
0.8128192032686414,0.7574693564862105,0.7570621468926554,0.7227722772277227,0.8295454545454546,0.6853932584269663,0.7724867724867724,0.5145117050456083,177,3,46,gt
0.8820921985815603,0.7486702127659575,0.7473684210526316,0.6949152542372882,0.8723404255319149,0.625,0.7735849056603774,0.4960212201591512,190,4,46,gt
0.8388788426763109,0.7462929475587703,0.7516778523489933,0.7796610169491526,0.6571428571428571,0.8354430379746836,0.7131782945736435,0.4970349420673297,149,0,42,oof
0.8059599413776258,0.7091841719589644,0.7107843137254902,0.7545454545454545,0.7217391304347827,0.6966292134831461,0.7377777777777778,0.4157281553398059,204,1,42,oof
0.904708832543884,0.8673725271663416,0.8653846153846154,0.8285714285714286,0.8969072164948454,0.8378378378378378,0.8613861386138614,0.7309433613600665,208,2,42,oof
0.8248212461695609,0.7963483146067416,0.7966101694915254,0.825,0.75,0.8426966292134831,0.7857142857142857,0.5929994890137966,177,3,42,oof
0.8264627659574468,0.7476728723404256,0.7473684210526316,0.73,0.776595744680851,0.71875,0.7525773195876289,0.4950166112956811,190,4,42,oof
0.8739602169981916,0.751627486437613,0.7651006711409396,0.9487179487179487,0.5285714285714286,0.9746835443037974,0.6788990825688074,0.516278638345237,149,0,43,oof
0.8054714215925746,0.7039081582804103,0.7205882352941176,0.7164179104477612,0.8347826086956521,0.5730337078651685,0.7710843373493976,0.4179014817781338,204,1,43,oof
0.8095105414693043,0.7360453236741897,0.7307692307692307,0.6752136752136753,0.8144329896907216,0.6576576576576577,0.7383177570093458,0.46603098927294395,208,2,43,oof
0.8206077630234934,0.7509576098059244,0.751412429378531,0.7972972972972973,0.6704545454545454,0.8314606741573034,0.7283950617283951,0.5023642172523962,177,3,43,oof
0.8369902482269505,0.7176418439716312,0.7157894736842105,0.65625,0.8936170212765957,0.5416666666666666,0.7567567567567568,0.4336498123206006,190,4,43,oof
0.8537070524412297,0.8001808318264014,0.8053691275167785,0.847457627118644,0.7142857142857143,0.8860759493670886,0.7751937984496124,0.6057841437825016,149,0,44,oof
0.7865168539325844,0.6905227161700049,0.6911764705882353,0.7407407407407407,0.6956521739130435,0.6853932584269663,0.7174887892376681,0.3776873910517141,204,1,44,oof
0.85381257546206,0.7758892913532088,0.7788461538461539,0.7802197802197802,0.7319587628865979,0.8198198198198198,0.7553191489361702,0.553939393939394,208,2,44,oof
0.8603166496424924,0.8138406537282942,0.8135593220338984,0.7835051546391752,0.8636363636363636,0.7640449438202247,0.8216216216216217,0.62732087028648,177,3,44,oof
0.8631427304964538,0.7847960992907801,0.7842105263157895,0.7523809523809524,0.8404255319148937,0.7291666666666666,0.7939698492462312,0.5688987271721084,190,4,44,oof
0.8139240506329114,0.7099457504520796,0.7114093959731543,0.6956521739130435,0.6857142857142857,0.7341772151898734,0.6906474820143885,0.4202334630350194,149,0,45,oof
0.8481680508060576,0.7457743038593063,0.7549019607843137,0.7642276422764228,0.8173913043478261,0.6741573033707865,0.7899159663865546,0.4965946106011253,204,1,45,oof
0.8815826135413763,0.8145258660722579,0.8173076923076923,0.8241758241758241,0.7731958762886598,0.8558558558558559,0.7978723404255319,0.6315151515151516,208,2,45,oof
0.8202247191011237,0.8021578140960164,0.8022598870056498,0.8117647058823529,0.7840909090909091,0.8202247191011236,0.7976878612716763,0.604431390077262,177,3,45,oof
0.8103945035460993,0.72052304964539,0.7210526315789474,0.7411764705882353,0.6702127659574468,0.7708333333333334,0.7039106145251397,0.4414864115363283,190,4,45,oof
0.8688969258589512,0.7962929475587703,0.7986577181208053,0.803030303030303,0.7571428571428571,0.8354430379746836,0.7794117647058824,0.594521044992743,149,0,46,oof
0.7783097215437226,0.7055691255495848,0.7009803921568627,0.77,0.6695652173913044,0.7415730337078652,0.7162790697674418,0.4034515819750719,204,1,46,oof
0.8294789634995821,0.7501625336676883,0.75,0.7227722772277227,0.7525773195876289,0.7477477477477478,0.7373737373737373,0.49902732746641965,208,2,46,oof
0.8526557711950971,0.8084780388151174,0.807909604519774,0.7547169811320755,0.9090909090909091,0.7078651685393258,0.8247422680412371,0.6162479275602601,177,3,46,oof
0.8589317375886526,0.7327127659574468,0.7315789473684211,0.6869565217391305,0.8404255319148937,0.625,0.7559808612440191,0.46434494195688225,190,4,46,oof
